election_year,chamber,target_plan_id,metric_family,source_product_id,source_estimate_year,source_period_start,source_period_end,source_release_date,source_timing
2016,senate,pa_senate_2012_revised_final,socioeconomic,acs5_2014,2014,2010-01-01,2014-12-31,2015-12-03,latest_cutoff_safe_product
2016,senate,pa_senate_2012_revised_final,total_population,acs5_2014,2014,2010-01-01,2014-12-31,2015-12-03,latest_cutoff_safe_product
2018,house,pa_house_2012_revised_final,socioeconomic,acs5_2016,2016,2012-01-01,2016-12-31,2017-12-07,latest_cutoff_safe_product
2018,house,pa_house_2012_revised_final,total_population,acs5_2016,2016,2012-01-01,2016-12-31,2017-12-07,latest_cutoff_safe_product
2018,senate,pa_senate_2012_revised_final,socioeconomic,acs5_2016,2016,2012-01-01,2016-12-31,2017-12-07,latest_cutoff_safe_product
2018,senate,pa_senate_2012_revised_final,total_population,acs5_2016,2016,2012-01-01,2016-12-31,2017-12-07,latest_cutoff_safe_product
2020,house,pa_house_2012_revised_final,socioeconomic,acs5_2018,2018,2014-01-01,2018-12-31,2019-12-19,latest_cutoff_safe_product
2020,house,pa_house_2012_revised_final,total_population,acs5_2018,2018,2014-01-01,2018-12-31,2019-12-19,latest_cutoff_safe_product
2020,senate,pa_senate_2012_revised_final,socioeconomic,acs5_2018,2018,2014-01-01,2018-12-31,2019-12-19,latest_cutoff_safe_product
2020,senate,pa_senate_2012_revised_final,total_population,acs5_2018,2018,2014-01-01,2018-12-31,2019-12-19,latest_cutoff_safe_product
2022,house,pa_house_2021_final,socioeconomic,acs5_2020,2020,2016-01-01,2020-12-31,2022-03-17,latest_cutoff_safe_product
2022,house,pa_house_2021_final,total_population,acs5_2020,2020,2016-01-01,2020-12-31,2022-03-17,latest_cutoff_safe_product
2022,senate,pa_senate_2021_final,socioeconomic,acs5_2020,2020,2016-01-01,2020-12-31,2022-03-17,latest_cutoff_safe_product
2022,senate,pa_senate_2021_final,total_population,acs5_2020,2020,2016-01-01,2020-12-31,2022-03-17,latest_cutoff_safe_product
2024,house,pa_house_2021_final,socioeconomic,acs5_2022,2022,2018-01-01,2022-12-31,2023-12-07,latest_cutoff_safe_product
2024,house,pa_house_2021_final,total_population,acs5_2022,2022,2018-01-01,2022-12-31,2023-12-07,latest_cutoff_safe_product
2024,senate,pa_senate_2021_final,socioeconomic,acs5_2022,2022,2018-01-01,2022-12-31,2023-12-07,latest_cutoff_safe_product
2024,senate,pa_senate_2021_final,total_population,acs5_2022,2022,2018-01-01,2022-12-31,2023-12-07,latest_cutoff_safe_product
2026,house,pa_house_2021_final,socioeconomic,acs5_2024,2024,2020-01-01,2024-12-31,2026-01-29,latest_cutoff_safe_product
2026,house,pa_house_2021_final,total_population,acs5_2024,2024,2020-01-01,2024-12-31,2026-01-29,latest_cutoff_safe_product
2026,senate,pa_senate_2021_final,socioeconomic,acs5_2024,2024,2020-01-01,2024-12-31,2026-01-29,latest_cutoff_safe_product
2026,senate,pa_senate_2021_final,total_population,acs5_2024,2024,2020-01-01,2024-12-31,2026-01-29,latest_cutoff_safe_product
